,p,M(p)
0,"[0, 100)",0.0
1,"[100, 200)",0.0
2,"[200, 300)",0.0
3,"[300, 400)",0.0
4,"[400, 500)",0.08444444444444445
5,"[500, 600)",0.09090909090909091
6,"[600, 700)",0.09126984126984126
7,"[700, 800)",0.07368421052631578
8,"[800, 900)",0.08227848101265822
9,"[900, 1000)",0.09230769230769231
10,"[1000, 1100)",0.07894736842105263
11,"[1100, 1200)",0.057971014492753624
12,"[1200, 1300)",0.07407407407407407
13,"[1300, 1400)",0.10909090909090909
14,"[1400, 1500)",0.04081632653061224
15,"[1500, 1600)",0.08888888888888889
16,"[1600, 1700)",0.045454545454545456
17,"[1700, 1800)",0.07894736842105263
18,"[1800, 1900)",0.047619047619047616
19,"[1900, 2000)",0.1
20,"[2000, 2100)",0.058823529411764705
21,"[2100, 2200)",0.15
22,"[2200, 2300)",0.0
23,"[2300, 2400)",0.0
24,"[2400, 2500)",0.1111111111111111
25,"[2500, 2600)",0.14285714285714285
26,"[2600, 2700)",0.2
27,"[2700, 2800)",0.0
28,"[2800, 2900)",0.0
29,"[2900, 3000)",0.0
30,"[3000, 3100)",0.0
31,"[3100, 3200)",0.0
32,"[3200, 3300)",0.0
33,"[3300, 3400)",0.0
34,"[3400, 3500)",0.0
35,"[3500, 3600)",0.0
36,"[3600, 3700)",0.0
37,"[3700, 3800)",0.0
38,"[3800, 3900)",0.0
39,"[3900, 4000)",0.0
40,"[4000, 4100)",0.0
41,"[4100, 4200)",0.0
42,"[4200, 4300)",0.0
43,"[4300, 4400)",0.0
44,"[4400, 4500)",0.0
45,"[4500, 4600)",0.0
46,"[4600, 4700)",0.0
47,"[4700, 4800)",0.0
48,"[4800, 4900)",0.0
49,"[4900, 5000)",0.0
