,p,M(p)
0,"[0, 140)",0.0
1,"[140, 280)",0.0
2,"[280, 420)",0.042692939244663386
3,"[420, 560)",0.06791651927838699
4,"[560, 700)",0.06436327739387956
5,"[700, 840)",0.06072874493927125
6,"[840, 980)",0.06248509420462676
7,"[980, 1120)",0.05541189508681197
8,"[1120, 1260)",0.05907859078590786
9,"[1260, 1400)",0.05576488319517709
10,"[1400, 1540)",0.058954393770856504
11,"[1540, 1680)",0.041044776119402986
12,"[1680, 1820)",0.03341288782816229
13,"[1820, 1960)",0.033846153846153845
14,"[1960, 2100)",0.05286343612334802
15,"[2100, 2240)",0.034722222222222224
16,"[2240, 2380)",0.06060606060606061
17,"[2380, 2520)",0.04838709677419355
18,"[2520, 2660)",0.0
19,"[2660, 2800)",0.0
20,"[2800, 2940)",0.0
21,"[2940, 3080)",0.0
22,"[3080, 3220)",0.0
23,"[3220, 3360)",0.0
24,"[3360, 3500)",0.25
25,"[3500, 3640)",0.0
26,"[3640, 3780)",0.0
27,"[3780, 3920)",0.0
28,"[3920, 4060)",0.0
29,"[4060, 4200)",0.0
30,"[4200, 4340)",0.0
31,"[4340, 4480)",0.0
32,"[4480, 4620)",0.0
33,"[4620, 4760)",0.0
34,"[4760, 4900)",0.0
35,"[4900, 5040)",0.0
36,"[5040, 5180)",0.0
37,"[5180, 5320)",0.0
38,"[5320, 5460)",0.0
39,"[5460, 5600)",0.0
40,"[5600, 5740)",0.0
41,"[5740, 5880)",0.0
42,"[5880, 6020)",0.0
43,"[6020, 6160)",0.0
44,"[6160, 6300)",0.0
45,"[6300, 6440)",0.0
46,"[6440, 6580)",0.0
47,"[6580, 6720)",0.0
48,"[6720, 6860)",0.0
49,"[6860, 7000)",0.0
