,p,M(p)
0,"[0, 140)",0.0
1,"[140, 280)",0.0
2,"[280, 420)",0.11398386151140186
3,"[420, 560)",0.050294915518236054
4,"[560, 700)",0.04684791092599537
5,"[700, 840)",0.04905272993016425
6,"[840, 980)",0.05648905913793793
7,"[980, 1120)",0.05234260899801544
8,"[1120, 1260)",0.04181478210681711
9,"[1260, 1400)",0.0503216863414376
10,"[1400, 1540)",0.029711767420837455
11,"[1540, 1680)",0.07019202567511439
12,"[1680, 1820)",0.034801675090427094
13,"[1820, 1960)",0.02324669577530522
14,"[1960, 2100)",0.040292406298099215
15,"[2100, 2240)",0.07184329621665479
16,"[2240, 2380)",0.017392362357090886
17,"[2380, 2520)",0.014247633200910157
18,"[2520, 2660)",0.004396478252663683
19,"[2660, 2800)",0.00896151195254067
20,"[2800, 2940)",0.0033119042399744267
21,"[2940, 3080)",0.0015108437321562048
22,"[3080, 3220)",0.01076145782654917
23,"[3220, 3360)",0.0
24,"[3360, 3500)",0.1405023737760314
25,"[3500, 3640)",0.0
26,"[3640, 3780)",0.026482226660925846
27,"[3780, 3920)",0.0
28,"[3920, 4060)",0.0
29,"[4060, 4200)",0.0
30,"[4200, 4340)",0.0
31,"[4340, 4480)",0.0
32,"[4480, 4620)",0.0
33,"[4620, 4760)",0.0
34,"[4760, 4900)",0.0
35,"[4900, 5040)",0.0
36,"[5040, 5180)",0.0
37,"[5180, 5320)",0.0
38,"[5320, 5460)",0.0
39,"[5460, 5600)",0.0
40,"[5600, 5740)",0.0
41,"[5740, 5880)",0.0
42,"[5880, 6020)",0.0
43,"[6020, 6160)",0.0
44,"[6160, 6300)",0.0
45,"[6300, 6440)",0.0
46,"[6440, 6580)",0.0
47,"[6580, 6720)",0.0
48,"[6720, 6860)",0.0
49,"[6860, 7000)",0.0
