pt,eta,efficiency
"[0, 200)","[-3, -2.4)",
"[0, 200)","[-2.4, -1.8)",
"[0, 200)","[-1.8, -1.2)",
"[0, 200)","[-1.2, -0.6)",
"[0, 200)","[-0.6, 0)",
"[0, 200)","[0, 0.6)",
"[0, 200)","[0.6, 1.2)",
"[0, 200)","[1.2, 1.8)",
"[0, 200)","[1.8, 2.4)",
"[0, 200)","[2.4, 3)",
"[200, 400)","[-3, -2.4)",
"[200, 400)","[-2.4, -1.8)",0.06666666666666667
"[200, 400)","[-1.8, -1.2)",0.0
"[200, 400)","[-1.2, -0.6)",
"[200, 400)","[-0.6, 0)",
"[200, 400)","[0, 0.6)",
"[200, 400)","[0.6, 1.2)",
"[200, 400)","[1.2, 1.8)",
"[200, 400)","[1.8, 2.4)",
"[200, 400)","[2.4, 3)",
"[400, 600)","[-3, -2.4)",
"[400, 600)","[-2.4, -1.8)",0.07
"[400, 600)","[-1.8, -1.2)",0.07894736842105263
"[400, 600)","[-1.2, -0.6)",0.0
"[400, 600)","[-0.6, 0)",
"[400, 600)","[0, 0.6)",
"[400, 600)","[0.6, 1.2)",
"[400, 600)","[1.2, 1.8)",
"[400, 600)","[1.8, 2.4)",
"[400, 600)","[2.4, 3)",
"[600, 800)","[-3, -2.4)",0.25
"[600, 800)","[-2.4, -1.8)",0.10344827586206896
"[600, 800)","[-1.8, -1.2)",0.08823529411764706
"[600, 800)","[-1.2, -0.6)",0.0
"[600, 800)","[-0.6, 0)",1.0
"[600, 800)","[0, 0.6)",
"[600, 800)","[0.6, 1.2)",
"[600, 800)","[1.2, 1.8)",
"[600, 800)","[1.8, 2.4)",
"[600, 800)","[2.4, 3)",
"[800, 1000)","[-3, -2.4)",
"[800, 1000)","[-2.4, -1.8)",0.08837209302325581
"[800, 1000)","[-1.8, -1.2)",0.08333333333333333
"[800, 1000)","[-1.2, -0.6)",0.18181818181818182
"[800, 1000)","[-0.6, 0)",0.0
"[800, 1000)","[0, 0.6)",
"[800, 1000)","[0.6, 1.2)",
"[800, 1000)","[1.2, 1.8)",
"[800, 1000)","[1.8, 2.4)",
"[800, 1000)","[2.4, 3)",
"[1000, 1200)","[-3, -2.4)",0.0
"[1000, 1200)","[-2.4, -1.8)",0.1044776119402985
"[1000, 1200)","[-1.8, -1.2)",0.036585365853658534
"[1000, 1200)","[-1.2, -0.6)",0.0
"[1000, 1200)","[-0.6, 0)",0.0
"[1000, 1200)","[0, 0.6)",
"[1000, 1200)","[0.6, 1.2)",
"[1000, 1200)","[1.2, 1.8)",
"[1000, 1200)","[1.8, 2.4)",
"[1000, 1200)","[2.4, 3)",
"[1200, 1400)","[-3, -2.4)",0.0
"[1200, 1400)","[-2.4, -1.8)",0.11979166666666667
"[1200, 1400)","[-1.8, -1.2)",0.11764705882352941
"[1200, 1400)","[-1.2, -0.6)",0.0
"[1200, 1400)","[-0.6, 0)",
"[1200, 1400)","[0, 0.6)",
"[1200, 1400)","[0.6, 1.2)",
"[1200, 1400)","[1.2, 1.8)",
"[1200, 1400)","[1.8, 2.4)",
"[1200, 1400)","[2.4, 3)",
"[1400, 1600)","[-3, -2.4)",
"[1400, 1600)","[-2.4, -1.8)",0.06862745098039216
"[1400, 1600)","[-1.8, -1.2)",0.07407407407407407
"[1400, 1600)","[-1.2, -0.6)",0.25
"[1400, 1600)","[-0.6, 0)",0.0
"[1400, 1600)","[0, 0.6)",
"[1400, 1600)","[0.6, 1.2)",
"[1400, 1600)","[1.2, 1.8)",
"[1400, 1600)","[1.8, 2.4)",
"[1400, 1600)","[2.4, 3)",
"[1600, 1800)","[-3, -2.4)",
"[1600, 1800)","[-2.4, -1.8)",0.0
"[1600, 1800)","[-1.8, -1.2)",0.0
"[1600, 1800)","[-1.2, -0.6)",
"[1600, 1800)","[-0.6, 0)",
"[1600, 1800)","[0, 0.6)",
"[1600, 1800)","[0.6, 1.2)",
"[1600, 1800)","[1.2, 1.8)",
"[1600, 1800)","[1.8, 2.4)",
"[1600, 1800)","[2.4, 3)",
"[1800, 2000)","[-3, -2.4)",
"[1800, 2000)","[-2.4, -1.8)",0.0
"[1800, 2000)","[-1.8, -1.2)",
"[1800, 2000)","[-1.2, -0.6)",
"[1800, 2000)","[-0.6, 0)",
"[1800, 2000)","[0, 0.6)",
"[1800, 2000)","[0.6, 1.2)",
"[1800, 2000)","[1.2, 1.8)",
"[1800, 2000)","[1.8, 2.4)",
"[1800, 2000)","[2.4, 3)",
